Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Inventory,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Margin,Marketing,Profit,Sales,Total Expenses
985,8/1/12 0:00,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,-508,30,60,10,90,44,61,39,-7,105,68
985,7/1/12 0:00,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,-395,40,50,0,90,47,66,42,-6,113,72
985,5/1/12 0:00,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,599,40,60,40,100,48,63,15,35,111,28
985,5/1/12 0:00,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,-113,50,80,10,130,64,90,58,3,154,87
985,4/1/12 0:00,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,605,40,70,50,110,52,67,17,38,119,29
985,4/1/12 0:00,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,37,50,70,0,120,63,87,57,1,150,86
985,2/1/12 0:00,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,382,40,70,50,110,56,81,17,41,137,40
985,1/1/12 0:00,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,777,40,60,50,100,33,48,9,28,81,20
979,7/1/13 0:00,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Regular,952,80,140,120,220,104,152,29,155,254,37
979,6/1/13 0:00,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,414,30,60,30,90,38,55,12,28,92,33
979,3/1/13 0:00,South,Major Market,Caffe Latte,Beans,Espresso,Texas,Regular,189,60,90,50,150,72,108,23,80,192,54
979,9/1/12 0:00,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,588,60,110,90,170,81,118,22,85,199,33
979,8/1/12 0:00,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,1296,390,450,340,840,311,367,96,250,678,117
978,12/1/13 0:00,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,870,30,50,40,80,33,49,9,43,87,20
978,12/1/13 0:00,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,571,40,50,-10,90,47,52,42,-30,106,72
978,11/1/13 0:00,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,482,30,50,40,80,32,48,8,43,85,19
978,10/1/13 0:00,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,859,20,50,50,70,27,39,7,30,70,19
978,8/1/13 0:00,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,414,30,50,20,80,49,60,18,12,108,47
978,7/1/13 0:00,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,-1493,40,590,560,630,52,613,17,778,659,46
978,2/1/13 0:00,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,452,20,40,30,60,22,34,6,25,60,17
978,1/1/13 0:00,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,456,30,50,40,80,32,48,8,45,90,20
978,11/1/12 0:00,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,-3287,60,340,300,400,75,379,24,324,454,55
978,7/1/12 0:00,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,419,30,50,20,80,51,64,19,11,115,53
978,7/1/12 0:00,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,560,30,70,20,100,39,72,36,7,111,65
978,5/1/12 0:00,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,-663,60,460,430,520,64,487,21,434,551,53
978,3/1/12 0:00,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,813,30,50,40,80,32,47,8,28,79,19
978,3/1/12 0:00,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,-54,60,400,360,460,72,420,23,366,492,54
978,2/1/12 0:00,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,452,20,40,30,60,22,34,6,17,56,17
978,2/1/12 0:00,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,817,30,50,40,80,32,48,8,28,80,20
978,1/1/12 0:00,East,Major Market,Regular Espresso,Beans,Espresso,Massachusetts,Regular,1091,160,170,110,330,170,171,47,100,341,71
972,7/1/13 0:00,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,1319,320,380,290,700,260,307,80,284,562,94
972,12/1/12 0:00,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,1321,280,340,240,620,241,284,74,188,525,96
972,12/1/12 0:00,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Regular,959,90,140,110,230,123,179,34,133,302,46
972,3/1/12 0:00,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,441,60,110,90,170,81,117,22,84,198,33
972,2/1/12 0:00,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,942,260,320,240,580,213,252,66,164,465,88
971,12/1/13 0:00,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,817,60,100,60,160,88,133,29,108,236,60
971,12/1/13 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1319,150,140,80,290,153,153,42,129,326,66
971,12/1/13 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,422,40,50,10,90,46,57,17,9,110,51
971,11/1/13 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,666,70,100,70,170,102,143,31,132,261,54
971,11/1/13 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1283,170,180,120,350,181,182,50,160,387,74
971,11/1/13 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,509,60,80,10,140,52,73,47,-6,133,77
971,10/1/13 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,419,50,100,80,150,43,64,13,43,114,35
971,10/1/13 0:00,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,480,0,20,20,20,21,32,5,24,56,16
971,10/1/13 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,820,10,30,30,40,25,36,7,25,65,19
971,10/1/13 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,404,40,60,40,100,54,66,20,18,128,54
971,9/1/13 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,666,60,90,60,150,96,134,29,120,245,53
971,9/1/13 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1280,140,150,90,290,155,155,43,129,330,68
971,9/1/13 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,409,40,50,10,90,45,57,17,9,109,51
971,8/1/13 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,474,50,90,40,140,47,67,15,11,113,55
971,8/1/13 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,826,20,30,30,50,25,37,7,26,61,17
971,8/1/13 0:00,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,415,40,60,30,100,46,62,15,26,107,40
971,8/1/13 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,513,40,70,20,110,37,52,33,-15,88,59
971,7/1/13 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,419,40,70,30,110,51,64,19,17,114,48
971,6/1/13 0:00,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,478,10,10,10,20,18,26,5,12,44,16
971,6/1/13 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,396,40,70,30,110,51,64,19,15,114,49
971,5/1/13 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,384,50,70,40,120,42,61,13,35,102,33
971,5/1/13 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,422,60,80,30,140,48,68,15,11,115,56
971,5/1/13 0:00,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,361,40,70,40,110,52,71,17,37,122,41
971,5/1/13 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,458,60,100,40,160,53,75,48,-3,127,72
971,4/1/13 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,502,70,110,70,180,112,155,34,145,285,57
971,4/1/13 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1091,150,160,100,310,162,163,45,138,346,70
971,4/1/13 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,777,30,40,40,70,35,52,9,46,93,21
971,4/1/13 0:00,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,336,50,70,40,120,55,74,18,42,137,46
971,4/1/13 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,337,50,60,20,110,54,67,20,19,129,54
971,3/1/13 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,481,50,90,60,140,89,125,27,110,228,51
971,3/1/13 0:00,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,632,50,90,60,140,84,126,27,101,224,58
971,3/1/13 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,351,60,90,60,150,49,72,15,50,129,38
971,3/1/13 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,385,70,110,60,180,62,87,20,36,159,63
971,3/1/13 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,421,60,90,30,150,52,73,47,-4,133,76
971,2/1/13 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,490,50,90,60,140,86,120,26,105,220,49
971,2/1/13 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,357,60,100,70,160,52,76,16,56,136,38
971,1/1/13 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,364,70,100,70,170,57,83,18,65,157,43
971,1/1/13 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1091,160,160,100,320,170,171,47,154,382,76
971,12/1/12 0:00,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,817,60,100,60,160,88,133,29,73,221,60
971,12/1/12 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1319,150,140,80,290,153,153,42,87,306,66
971,12/1/12 0:00,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,490,20,30,30,50,29,44,8,25,73,19
971,12/1/12 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,422,40,50,10,90,46,57,17,6,103,51
971,11/1/12 0:00,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,561,80,100,70,180,88,112,29,70,200,42
971,11/1/12 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,666,70,100,70,170,102,143,31,89,245,54
971,11/1/12 0:00,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,798,50,90,50,140,78,119,25,62,197,57
971,11/1/12 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,470,60,90,40,150,53,75,17,14,128,61
971,10/1/12 0:00,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,572,60,100,90,160,90,115,29,73,205,42
971,10/1/12 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,656,40,60,50,100,91,127,28,76,218,51
971,10/1/12 0:00,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,788,30,60,50,90,82,123,27,64,205,59
971,10/1/12 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,419,50,100,80,150,43,64,13,29,107,35
971,10/1/12 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,463,80,130,90,210,60,84,19,21,144,63
971,10/1/12 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,820,10,30,30,40,25,36,7,17,61,19
971,10/1/12 0:00,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,405,30,70,60,100,52,71,17,27,123,44
971,10/1/12 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,503,70,100,50,170,51,71,46,-5,122,76
971,9/1/12 0:00,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,579,50,70,50,120,61,79,20,47,140,32
971,9/1/12 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,424,50,80,50,130,43,64,13,28,107,36
971,8/1/12 0:00,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,810,70,120,80,190,114,172,37,104,286,68
971,8/1/12 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,474,50,90,40,140,47,67,15,8,114,59
971,8/1/12 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,826,20,30,30,50,25,37,7,19,62,18
971,8/1/12 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,414,40,60,20,100,49,60,18,9,109,51
971,7/1/12 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,478,40,70,20,110,39,55,12,0,94,55
971,7/1/12 0:00,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,419,40,70,30,110,51,64,19,12,115,52
971,7/1/12 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,517,40,70,20,110,39,56,36,-10,95,66
971,6/1/12 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,456,50,90,40,140,47,65,15,4,112,61
971,6/1/12 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,816,20,40,40,60,28,41,7,22,69,19
971,5/1/12 0:00,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,602,30,50,30,80,43,56,14,30,99,26
971,5/1/12 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,555,70,110,70,180,114,159,35,101,273,58
971,5/1/12 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,384,50,70,40,120,42,61,13,25,103,36
971,5/1/12 0:00,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,422,60,80,30,140,48,68,15,8,116,60
971,4/1/12 0:00,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,608,30,60,40,90,46,60,15,32,106,28
971,4/1/12 0:00,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,502,70,110,70,180,112,155,34,98,267,57
971,4/1/12 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,777,30,40,40,70,35,52,9,31,87,21
971,4/1/12 0:00,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,336,50,70,40,120,55,74,18,28,129,46
971,4/1/12 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,433,60,90,30,150,52,73,47,-3,125,76
971,3/1/12 0:00,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,613,30,50,30,80,43,55,14,29,98,26
971,3/1/12 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1059,150,160,100,310,162,163,45,94,325,69
971,3/1/12 0:00,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,449,10,20,20,30,21,32,5,16,53,16
971,3/1/12 0:00,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,323,50,70,40,120,57,77,18,32,134,45
971,2/1/12 0:00,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,640,50,80,50,130,80,120,26,62,200,58
971,2/1/12 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,357,60,100,70,160,52,76,16,38,128,38
971,2/1/12 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1073,160,160,100,320,170,170,47,99,340,71
971,2/1/12 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,772,20,50,50,70,33,48,9,28,81,20
971,2/1/12 0:00,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,427,60,100,40,160,54,75,49,-4,129,79
971,1/1/12 0:00,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,364,70,100,70,170,57,83,18,42,140,41
971,1/1/12 0:00,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,1091,160,160,100,320,170,171,47,99,341,72
971,1/1/12 0:00,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,456,20,30,30,50,32,48,8,28,80,20
971,1/1/12 0:00,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,777,30,40,40,70,36,54,10,33,90,21
970,12/1/13 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,424,50,60,30,110,54,73,17,43,135,44
970,12/1/13 0:00,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,1054,40,50,20,90,53,63,16,39,124,37
970,12/1/13 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,531,40,50,30,90,43,56,14,43,106,27
970,12/1/13 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,1319,140,140,80,280,153,153,42,129,326,66
970,12/1/13 0:00,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,601,60,110,90,170,54,79,15,79,142,26
970,11/1/13 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,411,50,70,40,120,59,79,19,47,147,47
970,11/1/13 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,509,40,70,10,110,52,73,47,-6,133,77
970,11/1/13 0:00,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,561,70,90,60,160,88,112,29,104,213,42
970,11/1/13 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,659,90,150,100,240,75,114,24,86,201,56
970,11/1/13 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,1283,170,160,100,330,181,182,50,159,387,75
970,10/1/13 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,405,30,60,50,90,52,71,17,39,131,45
970,10/1/13 0:00,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,572,50,90,80,140,90,115,29,110,218,41
970,10/1/13 0:00,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,1037,30,50,40,80,54,64,16,40,126,37
970,10/1/13 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,650,100,160,130,260,72,110,23,83,194,54
970,10/1/13 0:00,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,580,100,180,170,280,76,111,21,117,199,32
970,9/1/13 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,509,40,70,20,110,52,74,47,-3,134,76
970,9/1/13 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,656,60,110,60,170,60,90,19,58,160,51
970,9/1/13 0:00,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,928,130,180,140,310,123,179,34,199,322,45
970,8/1/13 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,554,50,70,50,120,52,68,17,54,119,27
970,7/1/13 0:00,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,592,30,50,30,80,41,53,13,37,93,24
970,6/1/13 0:00,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,597,30,50,30,80,43,56,14,40,98,25
970,6/1/13 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,641,60,90,50,150,54,81,17,46,134,45
970,6/1/13 0:00,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,396,40,60,20,100,51,64,19,15,114,49
970,6/1/13 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,574,80,110,80,190,83,107,27,94,188,36
970,5/1/13 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,458,40,70,10,110,53,75,48,-4,127,73
970,5/1/13 0:00,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,602,30,50,30,80,43,56,14,41,98,24
970,5/1/13 0:00,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,499,90,150,120,240,86,124,24,121,208,33
970,4/1/13 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,593,80,100,70,180,78,100,25,93,190,37
970,4/1/13 0:00,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,777,90,140,110,230,91,132,25,142,238,36
970,3/1/13 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,323,40,70,40,110,57,77,18,46,143,46
970,3/1/13 0:00,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,952,50,60,30,110,62,73,19,47,144,41
970,3/1/13 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,541,80,130,80,210,72,108,23,80,192,54
970,3/1/13 0:00,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,325,40,70,20,110,58,71,22,24,137,55
970,3/1/13 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,603,80,120,90,200,84,109,27,102,206,40
970,3/1/13 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,1059,130,150,100,280,162,163,45,140,346,69
970,2/1/13 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,427,40,70,10,110,54,75,49,-4,137,78
970,2/1/13 0:00,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,618,30,50,30,80,44,56,14,45,107,26
970,2/1/13 0:00,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,958,50,60,30,110,62,74,19,50,145,40
970,2/1/13 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,549,80,140,90,220,75,114,24,88,201,55
970,2/1/13 0:00,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,331,50,60,10,110,59,73,22,27,141,55
970,2/1/13 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,1073,140,150,100,290,170,170,47,147,362,71
970,1/1/13 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,336,50,70,40,120,60,80,19,51,157,49
970,12/1/12 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,521,40,60,0,100,47,65,42,-6,112,71
970,12/1/12 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,677,80,130,80,210,67,101,22,47,168,54
970,12/1/12 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,531,40,50,30,90,43,56,14,29,99,27
970,12/1/12 0:00,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,601,60,110,90,170,54,79,15,53,133,26
970,11/1/12 0:00,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,984,80,110,80,190,81,117,22,84,198,33
970,11/1/12 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,536,30,60,40,90,40,52,13,27,92,25
970,11/1/12 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,1283,170,160,100,330,181,182,50,107,363,75
970,11/1/12 0:00,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,930,110,170,130,280,118,172,33,128,290,44
970,10/1/12 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,405,30,60,50,90,52,71,17,26,123,45
970,10/1/12 0:00,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,915,120,180,160,300,123,179,34,133,302,46
970,9/1/12 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,509,40,70,20,110,52,74,47,-2,126,76
970,9/1/12 0:00,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,579,50,70,50,120,61,79,20,47,140,32
970,9/1/12 0:00,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,981,100,150,120,250,100,145,28,106,245,39
970,9/1/12 0:00,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,409,30,50,10,80,45,57,17,7,102,50
970,9/1/12 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,548,60,70,50,130,58,74,19,42,132,32
970,9/1/12 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,1280,130,140,90,270,155,155,43,87,310,68
970,9/1/12 0:00,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,928,130,180,140,310,123,179,34,134,302,45
